participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110628255708_360250,images,1,1,seagull,0,0,1,0,0.696
20241008110628255708_360250,images,1,2,subway,0,0,0,1,0.509
20241008110628255708_360250,images,1,3,lemon,0,0,0,1,0.678
20241008110628255708_360250,images,1,4,crowbar,0,0,1,0,0.679
20241008110628255708_360250,words,2,1,pencil,0,0,1,0,0.822
20241008110628255708_360250,words,2,2,snake,0,0,1,0,10.957
20241008110628255708_360250,words,2,3,taxi,0,0,1,0,6.014
20241008110628255708_360250,words,2,4,cannon,0,0,1,0,1.388
20241008110628255708_360250,nonwords,3,1,kloiz,0,0,1,0,0.617
20241008110628255708_360250,nonwords,3,2,stroeb,0,0,1,0,3.994
20241008110628255708_360250,nonwords,3,3,friep,0,0,1,0,1.126
20241008110628255708_360250,nonwords,3,4,gleel,0,0,1,0,0.016
