participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105525980322_957265,nonwords,1,1,smoch,0,0,1,0,0.833
20241008105525980322_957265,nonwords,1,2,sleeh,0,0,1,0,0.635
20241008105525980322_957265,nonwords,1,3,skoict,0,0,1,0,0.469
20241008105525980322_957265,nonwords,1,4,zloem,0,0,0,1,1.392
20241008105525980322_957265,words,2,1,bomb,0,0,0,1,1.705
20241008105525980322_957265,words,2,2,cantaloupe,0,0,1,0,0.613
20241008105525980322_957265,words,2,3,pliers,0,0,0,1,0.543
20241008105525980322_957265,words,2,4,hawk,0,0,1,0,0.499
20241008105525980322_957265,images,3,1,cabbage,0,0,0,1,0.531
20241008105525980322_957265,images,3,2,jeans,0,0,1,0,0.603
20241008105525980322_957265,images,3,3,stork,0,0,0,1,0.642
20241008105525980322_957265,images,3,4,cheetah,0,0,1,0,0.533
