participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008111056756413_375668,words,1,1,broccoli,0,0,1,0,5.203
20241008111056756413_375668,words,1,2,ambulance,0,0,0,1,0.696
20241008111056756413_375668,words,1,3,duck,0,0,1,0,0.750
20241008111056756413_375668,words,1,4,hatchet,0,0,0,1,0.997
20241008111056756413_375668,images,2,1,radish,0,0,0,1,13.722
20241008111056756413_375668,images,2,2,moth,0,0,0,1,0.617
20241008111056756413_375668,images,2,3,banana,0,0,1,0,0.632
20241008111056756413_375668,images,2,4,mittens,0,0,0,1,0.591
20241008111056756413_375668,nonwords,3,1,glaisch,0,0,1,0,10.789
20241008111056756413_375668,nonwords,3,2,wrauy,0,0,1,0,0.313
20241008111056756413_375668,nonwords,3,3,wheert,0,0,1,0,0.305
20241008111056756413_375668,nonwords,3,4,thrawlk,0,0,1,0,0.399
