participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110815394116_610475,images,1,1,pencil,0,0,0,1,0.845
20241008110815394116_610475,images,1,2,pants,0,0,1,0,0.708
20241008110815394116_610475,images,1,3,scooter,0,0,0,1,0.769
20241008110815394116_610475,images,1,4,shoes,0,0,1,0,0.566
20241008110815394116_610475,words,2,1,jacket,0,0,1,0,0.440
20241008110815394116_610475,words,2,2,sheep,0,0,1,0,0.288
20241008110815394116_610475,words,2,3,radish,0,0,1,0,0.133
20241008110815394116_610475,words,2,4,sword,0,0,1,0,0.011
20241008110815394116_610475,nonwords,3,1,zloc,0,0,1,0,0.494
20241008110815394116_610475,nonwords,3,2,kowp,0,0,1,0,0.503
20241008110815394116_610475,nonwords,3,3,skort,0,0,1,0,2.721
20241008110815394116_610475,nonwords,3,4,stuc,0,0,1,0,0.353
