participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105918642443_387564,words,1,1,cheetah,0,0,1,0,73.126
20241008105918642443_387564,words,1,2,butterfly,0,0,0,1,2.805
20241008105918642443_387564,words,1,3,truck,0,0,1,0,0.868
20241008105918642443_387564,words,1,4,slippers,0,0,1,0,1.222
20241008105918642443_387564,nonwords,2,1,vueh,0,0,1,0,0.519
20241008105918642443_387564,nonwords,2,2,klowt,0,0,0,1,0.824
20241008105918642443_387564,nonwords,2,3,wheert,0,0,0,1,0.578
20241008105918642443_387564,nonwords,2,4,friep,0,0,0,1,0.531
20241008105918642443_387564,images,3,1,scarf,0,0,1,0,0.430
20241008105918642443_387564,images,3,2,woodpecker,0,0,1,0,0.930
20241008105918642443_387564,images,3,3,sledgehammer,0,0,1,0,0.901
20241008105918642443_387564,images,3,4,hoe,0,0,0,1,0.713
