participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008111241313228_805173,images,1,1,skunk,0,0,1,0,7.722
20241008111241313228_805173,images,1,2,missile,0,0,0,1,2.561
20241008111241313228_805173,images,1,3,chicken,0,0,1,0,1.076
20241008111241313228_805173,images,1,4,rake,0,0,1,0,1.307
20241008111241313228_805173,words,2,1,prune,0,0,0,1,14.421
20241008111241313228_805173,words,2,2,apple,0,0,1,0,1.25
20241008111241313228_805173,words,2,3,sweater,0,0,1,0,0.514
20241008111241313228_805173,words,2,4,sword,0,0,1,0,0.248
20241008111241313228_805173,nonwords,3,1,klowt,0,0,1,0,10.088
20241008111241313228_805173,nonwords,3,2,pleash,0,0,0,1,0.005
20241008111241313228_805173,nonwords,3,3,beact,0,0,1,0,0.304
20241008111241313228_805173,nonwords,3,4,smueb,0,0,1,0,0.291
