participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008111337645100_843071,words,1,1,missile,0,0,1,0,0.96
20241008111337645100_843071,words,1,2,hammer,0,0,1,0,0.069
20241008111337645100_843071,words,1,3,moth,0,0,1,0,0.794
20241008111337645100_843071,words,1,4,slingshot,0,0,0,1,1.33
20241008111337645100_843071,nonwords,2,1,soof,0,0,1,0,0.972
20241008111337645100_843071,nonwords,2,2,vaut,0,0,0,1,0.854
20241008111337645100_843071,nonwords,2,3,bleard,0,0,0,1,0.762
20241008111337645100_843071,nonwords,2,4,kloiz,0,0,1,0,0.606
20241008111337645100_843071,images,3,1,bike,0,0,0,1,0.629
20241008111337645100_843071,images,3,2,lettuce,0,0,1,0,0.675
20241008111337645100_843071,images,3,3,bow,0,0,1,0,0.893
20241008111337645100_843071,images,3,4,sofa,0,0,0,1,0.676
