participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110323011954_534446,images,1,1,jacket,0,0,1,0,3.577
20241008110323011954_534446,images,1,2,grenade,0,0,0,1,4.406
20241008110323011954_534446,images,1,3,snake,0,0,0,1,0.809
20241008110323011954_534446,images,1,4,sofa,0,0,1,0,0.796
20241008110323011954_534446,nonwords,2,1,proert,0,0,1,0,4.406
20241008110323011954_534446,nonwords,2,2,sneez,0,0,1,0,0.711
20241008110323011954_534446,nonwords,2,3,yawsm,0,0,1,0,1.364
20241008110323011954_534446,nonwords,2,4,fect,0,0,1,0,0.914
20241008110323011954_534446,words,3,1,dog,0,0,1,0,5.666
20241008110323011954_534446,words,3,2,rake,0,0,1,0,0.928
20241008110323011954_534446,words,3,3,slingshot,0,0,1,0,0.451
20241008110323011954_534446,words,3,4,broccoli,0,0,1,0,0.513
