participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105742236777_363448,images,1,1,airplane,0,0,0,1,0.634
20241008105742236777_363448,images,1,2,camel,0,0,1,0,0.578
20241008105742236777_363448,images,1,3,cantaloupe,0,0,1,0,0.744
20241008105742236777_363448,images,1,4,onions,0,0,0,1,0.766
20241008105742236777_363448,nonwords,2,1,zoag,0,0,1,0,0.797
20241008105742236777_363448,nonwords,2,2,wrauy,0,0,1,0,0.363
20241008105742236777_363448,nonwords,2,3,grert,0,0,1,0,0.304
20241008105742236777_363448,nonwords,2,4,kloiz,0,0,1,0,0.272
20241008105742236777_363448,words,3,1,sofa,0,0,1,0,0.363
20241008105742236777_363448,words,3,2,helicopter,0,0,1,0,0.277
20241008105742236777_363448,words,3,3,bomb,0,0,1,0,0.302
20241008105742236777_363448,words,3,4,screws,0,0,1,0,0.28
