participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110939267014_476662,images,1,1,carrot,0,0,0,1,27.859
20241008110939267014_476662,images,1,2,bike,0,0,1,0,1.886
20241008110939267014_476662,images,1,3,cannon,0,0,0,1,0.824
20241008110939267014_476662,images,1,4,sweater,0,0,1,0,0.729
20241008110939267014_476662,nonwords,2,1,hipt,0,0,0,1,4.182
20241008110939267014_476662,nonwords,2,2,proert,0,0,1,0,1.073
20241008110939267014_476662,nonwords,2,3,spoer,0,0,1,0,0.613
20241008110939267014_476662,nonwords,2,4,sleeh,0,0,1,0,0.398
20241008110939267014_476662,words,3,1,rose,0,0,0,1,1.025
20241008110939267014_476662,words,3,2,turtle,0,0,1,0,0.571
20241008110939267014_476662,words,3,3,sweater,0,0,1,0,0.371
20241008110939267014_476662,words,3,4,trolley,0,0,1,0,0.413
