participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105834928934_433656,nonwords,1,1,thrawlk,0,0,1,0,117.950
20241008105834928934_433656,nonwords,1,2,druel,0,0,0,1,1.713
20241008105834928934_433656,nonwords,1,3,thoelk,0,0,1,0,0.869
20241008105834928934_433656,nonwords,1,4,fect,0,0,0,1,0.779
20241008105834928934_433656,words,2,1,coat,0,0,0,1,3.840
20241008105834928934_433656,words,2,2,taxi,0,0,1,0,0.925
20241008105834928934_433656,words,2,3,turnip,0,0,1,0,0.579
20241008105834928934_433656,words,2,4,pencil,0,0,0,1,0.693
20241008105834928934_433656,images,3,1,screwdriver,0,0,0,1,5.426
20241008105834928934_433656,images,3,2,slingshot,0,0,0,1,0.778
20241008105834928934_433656,images,3,3,moth,0,0,0,1,0.544
20241008105834928934_433656,images,3,4,sledgehammer,0,0,1,0,0.565
