participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110658569417_651001,words,1,1,dog,0,0,0,1,12.356
20241008110658569417_651001,words,1,2,motorcycle,0,0,0,1,0.8
20241008110658569417_651001,words,1,3,sandals,0,0,0,1,0.404
20241008110658569417_651001,words,1,4,shotgun,0,0,1,0,0.605
20241008110658569417_651001,nonwords,2,1,choamp,0,0,0,1,38.207
20241008110658569417_651001,nonwords,2,2,throisk,0,0,0,1,0.878
20241008110658569417_651001,nonwords,2,3,clueb,0,0,0,1,0.508
20241008110658569417_651001,nonwords,2,4,proert,0,0,0,1,0.452
20241008110658569417_651001,images,3,1,plum,0,0,0,1,5.865
20241008110658569417_651001,images,3,2,piano,0,0,0,1,0.601
20241008110658569417_651001,images,3,3,subway,0,0,0,1,0.52
20241008110658569417_651001,images,3,4,motorcycle,0,0,0,1,0.509
