participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008105808698048_241479,images,1,1,guitar,0,0,1,0,42.614
20241008105808698048_241479,images,1,2,slippers,0,0,0,1,1.205
20241008105808698048_241479,images,1,3,pineapple,0,0,0,1,0.813
20241008105808698048_241479,images,1,4,sandals,0,0,1,0,0.657
20241008105808698048_241479,words,2,1,lime,0,0,0,1,4.378
20241008105808698048_241479,words,2,2,orange,0,0,1,0,0.582
20241008105808698048_241479,words,2,3,seagull,0,0,1,0,0.345
20241008105808698048_241479,words,2,4,belt,0,0,1,0,0.246
20241008105808698048_241479,nonwords,3,1,klowt,0,0,0,1,3.367
20241008105808698048_241479,nonwords,3,2,grert,0,0,1,0,1.423
20241008105808698048_241479,nonwords,3,3,crousch,0,0,1,0,0.534
20241008105808698048_241479,nonwords,3,4,friep,0,0,1,0,0.359
