participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110618676114_622364,words,1,1,ambulance,0,0,0,1,1.428
20241008110618676114_622364,words,1,2,cantaloupe,0,0,1,0,1.170
20241008110618676114_622364,words,1,3,hoe,0,0,0,1,0.626
20241008110618676114_622364,words,1,4,sledgehammer,0,0,1,0,0.880
20241008110618676114_622364,images,2,1,lion,0,0,1,0,0.772
20241008110618676114_622364,images,2,2,sheep,0,0,0,1,0.818
20241008110618676114_622364,images,2,3,cat,0,0,0,1,0.585
20241008110618676114_622364,images,2,4,pencil,0,0,1,0,0.670
20241008110618676114_622364,nonwords,3,1,quaulk,0,0,1,0,1.054
20241008110618676114_622364,nonwords,3,2,pleash,0,0,1,0,7.853
20241008110618676114_622364,nonwords,3,3,wheert,0,0,1,0,6.539
20241008110618676114_622364,nonwords,3,4,sleeh,0,0,1,0,12.703
