participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008110249341842_527097,words,1,1,subway,0,0,1,0,0.679
20241008110249341842_527097,words,1,2,ambulance,0,0,1,0,0.808
20241008110249341842_527097,words,1,3,sailboat,0,0,0,1,0.720
20241008110249341842_527097,words,1,4,coat,0,0,0,1,0.890
20241008110249341842_527097,images,2,1,camel,0,0,1,0,1.571
20241008110249341842_527097,images,2,2,celery,0,0,1,0,1.238
20241008110249341842_527097,images,2,3,broccoli,0,0,0,1,0.938
20241008110249341842_527097,images,2,4,turnip,0,0,0,1,1.315
20241008110249341842_527097,nonwords,3,1,skort,0,0,1,0,0.657
20241008110249341842_527097,nonwords,3,2,glauch,0,0,1,0,3.325
20241008110249341842_527097,nonwords,3,3,klowt,0,0,1,0,0.134
20241008110249341842_527097,nonwords,3,4,peeg,0,0,1,0,3.443
