participant_id,stimulus_type,block_number,trial_number,stimulus,condition,old_trial_number,response,correct,rt
20241008111525273813_442734,images,1,1,screwdriver,0,0,0,1,4.887
20241008111525273813_442734,images,1,2,pencil,0,0,1,0,1.497
20241008111525273813_442734,images,1,3,arrow,0,0,0,1,0.768
20241008111525273813_442734,images,1,4,duck,0,0,0,1,0.658
20241008111525273813_442734,nonwords,2,1,choamp,0,0,0,1,9.318
20241008111525273813_442734,nonwords,2,2,cloilt,0,0,1,0,0.968
20241008111525273813_442734,nonwords,2,3,klarch,0,0,1,0,0.428
20241008111525273813_442734,nonwords,2,4,sloupt,0,0,1,0,0.422
20241008111525273813_442734,words,3,1,cannon,0,0,0,1,4.643
20241008111525273813_442734,words,3,2,bomb,0,0,1,0,0.722
20241008111525273813_442734,words,3,3,belt,0,0,1,0,0.332
20241008111525273813_442734,words,3,4,airplane,0,0,1,0,0.353
